h;V;C;L*;a*;b*;R;G;B
2.5PB;3;6;30.76;-1.13;-26.9;0.096;0.2957;0.4475
5PB;3;2;30.76;1.17;-10.11;0.2544;0.2848;0.3449
5PB;3;4;30.76;2.3;-18.94;0.2178;0.2855;0.3988
5PB;3;6;30.76;3.73;-27.43;0.1654;0.2862;0.4511
5PB;3;8;30.76;5.43;-35.22;0.0835;0.2864;0.4997
7.5PB;3;2;30.76;3.63;-10.25;0.2727;0.2796;0.3458
7.5PB;3;4;30.76;7.1;-19.01;0.2586;0.2752;0.3995
7.5PB;3;6;30.76;11.13;-27.25;0.2437;0.2697;0.4506
7.5PB;3;8;30.76;15.37;-34.78;0.2292;0.2631;0.4976
7.5PB;3;10;30.76;20.32;-42.54;0.2118;0.2548;0.5467
7.5PB;3;12;30.76;25.88;-49.72;0.2004;0.2437;0.5926
7.5PB;3;14;30.76;32.58;-57.13;0.1952;0.228;0.6405
7.5PB;3;16;30.76;39.95;-64.35;0.1956;0.2077;0.6877
7.5PB;3;18;30.76;46.48;-70.22;0.2019;0.1857;0.7264
7.5PB;3;20;30.76;52.62;-75.54;0.2082;0.1609;0.7619
7.5PB;3;22;30.76;60.22;-81.8;0.22;0.12;0.8039
7.5PB;3;24;30.76;67.65;-87.7;0.233;0.0536;0.8438
10PB;3;2;30.76;5.83;-10.09;0.2886;0.2748;0.3451
10PB;3;4;30.76;10.94;-18.09;0.2917;0.2659;0.3943
10PB;3;6;30.76;16.27;-25.48;0.2961;0.2556;0.44
10PB;3;8;30.76;22.03;-32.56;0.3016;0.2433;0.4842
10PB;3;10;30.76;28.48;-39.84;0.3088;0.2276;0.5302
10PB;3;12;30.76;34.28;-45.73;0.3171;0.2114;0.5677
10PB;3;14;30.76;41.33;-52.3;0.3298;0.1877;0.6101
10PB;3;16;30.76;48.61;-58.6;0.344;0.1574;0.651
10PB;3;18;30.76;55.03;-63.83;0.3584;0.1216;0.6853
10PB;3;20;30.76;61.77;-69.21;0.3733;0.064;0.7207
2.5P;3;2;30.76;7.4;-9.39;0.3016;0.2711;0.341
2.5P;3;4;30.76;13.64;-16.75;0.3164;0.2585;0.3864
2.5P;3;6;30.76;19.88;-23.33;0.3314;0.2444;0.4271
2.5P;3;8;30.76;26.45;-29.46;0.3486;0.2275;0.4655
2.5P;3;10;30.76;33.67;-35.78;0.3678;0.2056;0.5052
2.5P;3;12;30.76;40.1;-41.2;0.3852;0.1819;0.5396
2.5P;3;14;30.76;47.58;-47.19;0.4052;0.1478;0.578
2.5P;3;16;30.76;54.71;-52.71;0.4246;0.1017;0.6136
2.5P;3;18;30.76;61.46;-57.77;0.4433;0.0138;0.6465
5P;3;2;30.76;8.65;-8.52;0.3129;0.2679;0.3359
5P;3;4;30.76;15.73;-14.93;0.3367;0.2522;0.3755
5P;3;6;30.76;22.45;-20.69;0.3584;0.2354;0.4111
5P;3;8;30.76;29.52;-26.41;0.3811;0.2147;0.4469
5P;3;10;30.76;37;-32.23;0.4046;0.1884;0.4834
5P;3;12;30.76;44.46;-37.59;0.4284;0.1554;0.5174
5P;3;14;30.76;51.5;-42.7;0.4505;0.1123;0.5499
5P;3;16;30.76;58.66;-47.7;0.4729;0.0329;0.582
7.5P;3;2;30.76;9.71;-7.16;0.324;0.2649;0.3279
7.5P;3;4;30.76;17.43;-12.73;0.3542;0.2468;0.3622
7.5P;3;6;30.76;24.72;-17.79;0.3817;0.2269;0.3937
7.5P;3;8;30.76;32.51;-23.16;0.4101;0.2013;0.4272
7.5P;3;10;30.76;39.88;-28.08;0.4365;0.1712;0.4581
